,district,state,district_census_code,state_census_code,total,rural,urban
257,Lohit,Arunachal Pradesh,259,12,14.5,16.7,
333,Barddhaman,West Bengal,335,19,14.4,19.1,8.4
210,Katihar,Bihar,212,10,14.3,15.8,
85,Mewat,Haryana,87,6,14.2,14.3,
203,Sheohar,Bihar,205,10,14.0,13.7,
226,Sheikhpura,Bihar,228,10,14.0,14.0,
346,Kodarma,Jharkhand,348,20,14.0,15.0,
496,Jalgaon,Maharashtra,499,27,13.8,-16.0,9.4
397,Malkangiri,Odisha,399,21,13.8,12.8,
537,Warangal,Telangana,540,28,13.7,14.5,
545,Guntur,Andhra Pradesh,548,28,13.6,-17.0,8.9
463,Alirajpur,Madhya Pradesh,465,23,13.5,13.9,
350,Sahibganj,Jharkhand,352,20,13.5,13.4,
521,Latur,Maharashtra,524,27,13.4,12.9,
306,Dhemaji,Assam,308,18,13.4,14.3,
562,Bellary,Karnataka,565,29,13.3,15.9,9.9
519,Ahmednagar,Maharashtra,522,27,13.2,12.8,
311,Golaghat,Assam,313,18,13.2,14.4,
214,Muzaffarpur,Bihar,216,10,13.1,13.0,
345,Chatra,Jharkhand,347,20,13.1,13.9,
258,Anjaw,Arunachal Pradesh,260,12,13.1,13.6,
305,Lakhimpur,Assam,307,18,13.1,14.4,
237,Jehanabad,Bihar,239,10,13.0,13.6,
528,Sangli,Maharashtra,531,27,13.0,13.9,
549,Kurnool,Andhra Pradesh,552,28,12.9,15.4,
