district,state,district_census_code,state_census_code,total,rural,urban
Nanded,Maharashtra,511,27,1982,2059,
Hingoli,Maharashtra,512,27,16010,11690,
Parbhani,Maharashtra,513,27,3030,2890,-3426
Jalna,Maharashtra,514,27,24142,24067,
Aurangabad,Maharashtra,515,27,2863,-3280,-2414
Nashik,Maharashtra,516,27,1162,1514,993
Thane,Maharashtra,517,27,2221,,-2909
Mumbai Suburban,Maharashtra,518,27,3043,,3043
Mumbai,Maharashtra,519,27,8215,,8215
Raigarh,Maharashtra,520,27,3201,2502,-4100
Pune,Maharashtra,521,27,2231,-2145,*
Ahmednagar,Maharashtra,522,27,4763,4872,
Bid,Maharashtra,523,27,1599,1453,
Latur,Maharashtra,524,27,1486,1457,
Osmanabad,Maharashtra,525,27,2039,2173,
Solapur,Maharashtra,526,27,1453,-1290,-1722
Satara,Maharashtra,527,27,1867,-1403,
Ratnagiri,Maharashtra,528,27,4816,5141,
Sindhudurg,Maharashtra,529,27,5287,5607,
Kolhapur,Maharashtra,530,27,2219,-2355,*
Sangli,Maharashtra,531,27,3480,3940,
Adilabad,Telangana,532,28,4731,-5675,
Nizamabad,Telangana,533,28,3561,2792,
Karimnagar,Telangana,534,28,3734,*,
Medak,Telangana,535,28,4164,3148,
Hyderabad,Telangana,536,28,2711,,2711
Rangareddy,Telangana,537,28,4203,,-4832
Mahbubnagar,Telangana,538,28,3504,2886,
Nalgonda,Telangana,539,28,4038,-4204,
Warangal,Telangana,540,28,6754,-10147,
Khammam,Telangana,541,28,3206,-3414,
Srikakulam,Andhra Pradesh,542,28,2938,3086,
Vizianagaram,Andhra Pradesh,543,28,2015,1854,
Visakhapatnam,Andhra Pradesh,544,28,2143,-1723,*
East Godavari,Andhra Pradesh,545,28,1843,1783,
West Godavari,Andhra Pradesh,546,28,3118,-3296,
Krishna,Andhra Pradesh,547,28,2183,-2675,*
Guntur,Andhra Pradesh,548,28,1267,-1340,*
Prakasam,Andhra Pradesh,549,28,1616,-1541,
Sri Potti Sriramulu Nellore,Andhra Pradesh,550,28,2436,-2069,
Y.S.R. Cuddapah,Andhra Pradesh,551,28,3001,-3503,*
Kurnool,Andhra Pradesh,552,28,1310,1191,
Anantapur,Andhra Pradesh,553,28,3509,3766,
